config,condition,scan_id,pa_x,pa_y,pa_z,focus_x,focus_y,focus_z,beam_sum,beam_mean,beam_max,beam_db,beam_percent
2D8x8,B_PA2_to_C2,0,-111.344089,143.730347,-72.942256,-123.81,161.25,-51.8,31.648613857396356,0.49450959152181806,1.1400968249804064,-7.547297472892173,41.94064704862855
2D8x8,B_PA2_to_C2,1,-110.38386537861794,143.92504987544245,-73.40755896180973,-122.74,162.07,-51.8,32.3491321958941,0.5054551905608453,1.142127845081762,-7.357138650768659,42.86897182513877
2D8x8,B_PA2_to_C2,2,-109.4218299609588,144.1185327097424,-73.86961573883003,-121.66,162.88,-51.8,33.081332470609865,0.5168958198532791,1.144136357836188,-7.162731464270966,43.839281407388796
2D8x8,B_PA2_to_C2,3,-108.45798450643372,144.31078641668583,-74.32840069786123,-120.57,163.68,-51.8,33.82498095263042,0.5285153273848503,1.1460480461954161,-6.969640130389337,44.824762119220466
2D8x8,B_PA2_to_C2,4,-107.49233079569572,144.50179958697743,-74.78388860572728,-119.48,164.48,-51.8,34.57610493591315,0.540251639623643,1.147848765964267,-6.778869992771281,45.82014934264095
2D8x8,B_PA2_to_C2,5,-106.5248704079047,144.69156262453677,-75.23605239698662,-118.39,165.27,-51.8,35.32417680721353,0.5519402626127115,1.149523168635911,-6.5929503473769735,46.81149191652382
2D8x8,B_PA2_to_C2,6,-105.55560598576687,144.8800661623952,-75.684866540274,-117.29,166.06,-51.8,36.09240002072887,0.5639437503238885,1.1511450322964858,-6.406076102380477,47.82953898796231
2D8x8,B_PA2_to_C2,7,-104.58453988214106,145.06729927392988,-76.1303048784166,-116.18,166.83,-51.8,36.86171371502233,0.575964276797224,1.1526759205293906,-6.222880907280402,48.849031161218996
2D8x8,B_PA2_to_C2,8,-103.61167478761368,145.25325172348178,-76.57234104120653,-115.07,167.6,-51.8,37.63619093651086,0.5880654833829821,1.1541227146996282,-6.042278081913618,49.87536602504627
2D8x8,B_PA2_to_C2,9,-102.63701375124135,145.4379140468565,-77.01094843943008,-113.95,168.36,-51.8,38.42104889807182,0.6003288890323721,1.155510516235486,-5.863007005310785,50.915457414118
2D8x8,B_PA2_to_C2,10,-101.6605600506468,145.62127561992435,-77.4461008038966,-112.83,169.12,-51.8,39.20983536651676,0.6126536776018243,1.156823289295408,-5.686490968686586,51.96075484859164
