config,condition,scan_id,pa_x,pa_y,pa_z,focus_x,focus_y,focus_z,geometry_echo_max,geometry_x,geometry_y,geometry_z,edm_response,born_response,edge_gtd_response,edm_x,edm_y,edm_z,edm_vs_geometry_dB,geometry_echo_dB_norm,edm_response_dB_norm
1D32,B_PA2_to_C2,28,-83.78279833852454,148.68709051038687,-84.65641348019483,-91.83,181.38,-51.8,0.4483727905849326,-82.0802,147.4839,-46.8383,0.4993857301956732,0.4868621310405634,0.01252359915510983,-91.83,181.38,-51.8,0.9359375741034994,-3.70051675137903,-6.426960217196328
1D32,B_PA2_to_C2,29,-82.7732644843618,148.84373269838642,-85.0207559726652,-90.63,181.98,-51.8,0.4392152480959455,-80.8058,148.5203,-48.6119,0.4949322777194098,0.4814382403334564,0.013494037385953396,-90.63,181.98,-51.8,1.0373673781237869,-3.8797535649768298,-6.50476722677384
1D32,B_PA2_to_C2,30,-81.76207001190437,148.99886944655137,-85.38111544941161,-89.40999999999998,182.58,-51.8,0.43103168642744943,-79.5911,148.9556,-48.3545,0.4907681285634796,0.4761623543677732,0.014605774195706432,-89.40999999999998,182.58,-51.8,1.1273430684610763,-4.0431177919257575,-6.57815576338548
1D32,B_PA2_to_C2,31,-80.74922459345133,149.15248953395547,-85.73746566339398,-88.2,183.17,-51.8,0.43874944332029564,-78.5465,149.3997,-46.8383,0.4866547805825108,0.4710511255682945,0.015603655014216336,-88.2,183.17,-51.8,0.9000883102830808,-3.8889701753789483,-6.651262905016665
1D32,B_PA2_to_C2,32,-79.73473816719762,149.3045824755824,-86.08977990629651,-86.98,183.75,-51.8,0.42611095331060983,-77.5398,150.5403,-48.8109,0.482566766062441,0.4661272890144319,0.016439477048009056,-86.98,183.75,-51.8,1.0806942223818814,-4.142847784025034,-6.724534601563949
1D32,B_PA2_to_C2,33,-78.71862135234821,149.4551382571482,-86.4380323272578,-85.76,184.33,-51.8,0.42100488680557596,-76.7118,150.3247,-48.056,0.47839705240940145,0.46130444505655815,0.0170926073528433,-85.76,184.33,-51.8,1.110027164038253,-4.247559005733356,-6.799912881615899
1D32,B_PA2_to_C2,34,-77.70088469592274,149.6041466734858,-86.78219602640094,-84.53,184.89,-51.8,0.4246799100790709,-75.1909,151.6793,-45.9523,0.4743726184139986,0.45671981306640924,0.017652805347589364,-84.53,184.89,-51.8,0.9611579228543357,-4.172067409748449,-6.873290526814912
1D32,B_PA2_to_C2,35,-76.68153940290324,149.75159744535128,-87.12224516612058,-83.29999999999998,185.45,-51.8,0.42173676895208073,-74.0667,151.675,-46.8383,0.4704592654478272,0.45222542237322444,0.018233843074602758,-83.29999999999998,185.45,-51.8,0.9496111939472213,-4.232472415181276,-6.945242261154851
1D32,B_PA2_to_C2,36,-75.66059697847993,149.8974803307656,-87.45815384885604,-82.06,186.0,-51.8,0.4196098161123239,-73.1627,152.114,-46.8383,0.46681962924571735,0.44789139585363485,0.018928233392082508,-82.06,186.0,-51.8,0.9260694015880202,-4.276388958770171,-7.012700597102947
1D32,B_PA2_to_C2,37,-74.63806924818577,150.0417851248658,-87.7898962109968,-80.81999999999998,186.54,-51.8,0.41530516586203614,-72.1404,152.5756,-48.056,0.46343095345205415,0.44370074026910045,0.019730213182953694,-80.81999999999998,186.54,-51.8,0.9523540917034254,-4.3659550801538956,-7.075982028371267
1D32,B_PA2_to_C2,38,-73.61396815521526,150.18450169084596,-88.11744574553933,-79.58,187.08,-51.8,0.4103299915088047,-71.507,156.1373,-49.6183,0.4601788052161277,0.43958910129176926,0.02058970392435844,-79.58,187.08,-51.8,0.9958670190618182,-4.470636519736451,-7.13715054059543
1D32,B_PA2_to_C2,39,-72.58830630330328,150.32561996117698,-88.44077702518774,-78.34,187.6,-51.8,0.4103523441488889,-69.8297,153.649,-48.056,0.4570802537733565,0.43567182195995163,0.021408431813404846,-78.34,187.6,-51.8,0.9367108229172652,-4.470163370610407,-7.195833587613939
1D32,B_PA2_to_C2,40,-71.56109641508871,150.46512977948345,-88.7598640362138,-77.09,188.12,-51.8,0.40668008548892304,-68.6831,154.404,-46.3629,0.4539794865635623,0.431834541439719,0.022144945123843313,-77.09,188.12,-51.8,0.955666463366665,-4.548243620741315,-7.254958197295446
1D32,B_PA2_to_C2,41,-70.53235169037065,150.6030210563669,-89.07468130687656,-75.84,188.63,-51.8,0.4033319096678118,-67.7315,155.2097,-48.8109,0.45084856985054783,0.42812322459211766,0.022725345258430178,-75.84,188.63,-51.8,0.9673622746400444,-4.62005009144802,-7.3150688567287725
1D32,B_PA2_to_C2,42,-69.50208597534196,150.73928382249213,-89.3852044178836,-74.58,189.13,-51.8,0.39873921115964817,-66.4585,155.4841,-48.6119,0.4476848353856376,0.42454090954044144,0.02314392584519615,-74.58,189.13,-51.8,1.0056687648806193,-4.7195228372932805,-7.376235112333457
