config,condition,scan_id,pa_x,pa_y,pa_z,focus_x,focus_y,focus_z,beam_sum,beam_mean,beam_max,beam_db,beam_percent
1D16,B_PA2_to_C2,66,-44.36077557018651,153.49620909959995,-95.48651027214626,-43.58,198.57,-51.8,13.281530561986202,0.8300956601241376,0.849962917928748,-0.18230837094805222,97.92297097316276
1D16,B_PA2_to_C2,67,-43.29791368497544,153.58871652443105,-95.68198375449376,-42.26,198.86,-51.8,13.339223470008706,0.8337014668755441,0.8498849301521841,-0.14465992448175993,98.34833316551541
1D16,B_PA2_to_C2,68,-42.234005550773134,153.6793630286134,-95.8725781010478,-40.94,199.14,-51.8,13.39025996730441,0.8368912479565256,0.8497647960371563,-0.11149071470080538,98.72461852057555
1D16,B_PA2_to_C2,69,-41.16907381901202,153.76814085817185,-96.05827437794429,-39.62,199.4,-51.8,13.434608903467584,0.839663056466724,0.8498995284450191,-0.08277032707071574,99.05159737051524
1D16,B_PA2_to_C2,70,-40.1031289537576,153.85501755222404,-96.23899125430628,-38.29,199.66,-51.8,13.473482361924614,0.8420926476202883,0.849995953704678,-0.057673726826589694,99.33820624637848
1D16,B_PA2_to_C2,71,-39.03618987823958,153.939976772089,-96.4146819293428,-36.96,199.91,-51.8,13.505270475086698,0.8440794046929186,0.8499646864736675,-0.03720516238473517,99.57257580702021
1D16,B_PA2_to_C2,72,-37.96829818015255,154.02304379636783,-96.58541758393568,-35.63,200.15,-51.8,13.530025022173737,0.8456265638858586,0.8498977606105093,-0.021298894657850113,99.75508781379116
1D16,B_PA2_to_C2,73,-36.899477667861696,154.104211003158,-96.75118039535155,-34.3,200.39,-51.8,13.547938118587673,0.8467461324117296,0.8499999080430978,-0.009806804177048527,99.88715870818055
1D16,B_PA2_to_C2,74,-35.829752775415024,154.18347341545706,-96.91195389931922,-32.97,200.61,-51.8,13.558965585297635,0.8474353490811022,0.8499853196085446,-0.002739721550388546,99.96846276402768
1D16,B_PA2_to_C2,75,-34.759148008312394,154.26082338826797,-97.06772212617592,-31.63,200.82,-51.8,13.563243057266105,0.8477026910791315,0.8499978003872775,0.0,100.0
1D16,B_PA2_to_C2,76,-33.68768816862759,154.33625396422505,-97.21846945332712,-30.3,201.03,-51.8,13.560632474340471,0.8475395296462794,0.8499549086665931,-0.001671976058632402,99.98075251682351
1D16,B_PA2_to_C2,77,-32.61539853755643,154.40976009116122,-97.3641813520534,-28.96,201.23,-51.8,13.55105066193324,0.8469406663708275,0.8499986703327157,-0.007811511413089776,99.91010707924805
1D16,B_PA2_to_C2,78,-31.54230429006244,154.48133467447258,-97.50484226081323,-27.62,201.41,-51.8,13.534601318109878,0.8459125823818674,0.8499361617182316,-0.01836154009536651,99.78882823941666
1D16,B_PA2_to_C2,79,-30.46843110893605,154.55097297226447,-97.64043783150107,-26.28,201.59,-51.8,13.511359110177569,0.8444599443860981,0.8499619702008094,-0.03329015047148382,99.61746650952524
1D16,B_PA2_to_C2,80,-29.39380476776233,154.6186681013438,-97.77095418124917,-24.94,201.76,-51.8,13.4814560626685,0.8425910039167812,0.8499962234003099,-0.05253487726977708,99.39699528901541
1D16,B_PA2_to_C2,81,-28.31845135645202,154.68441462884485,-97.89637786883976,-23.6,201.93,-51.8,13.444987169267904,0.840311698079244,0.8498991850925882,-0.07606304801699938,99.12811495378423
1D16,B_PA2_to_C2,82,-27.2423972641524,154.74820751656992,-98.01669642786544,-22.26,202.08,-51.8,13.40214645286072,0.837634153303795,0.8498042729822739,-0.10378370198375308,98.81225600894115
1D16,B_PA2_to_C2,83,-26.165669006864395,154.81004129594638,-98.13189739193844,-20.91,202.22,-51.8,13.351690780253776,0.834480673765861,0.8499195661778621,-0.13654557607597365,98.44025299761184
1D16,B_PA2_to_C2,84,-25.088293256508223,154.86991089153568,-98.24196809318909,-19.57,202.36,-51.8,13.296297379616822,0.8310185862260514,0.8499833947442293,-0.17265649407346026,98.03184476955698
1D16,B_PA2_to_C2,85,-24.01029697344074,154.9278115916748,-98.34689701737234,-18.22,202.48,-51.8,13.233311579607914,0.8270819737254946,0.849999145133,-0.21390012766089248,97.56745878352862
1D16,B_PA2_to_C2,86,-22.93170731895633,154.98373900900486,-98.44667307402544,-16.87,202.6,-51.8,13.16423966877711,0.8227649792985694,0.849964949751226,-0.2593552805375701,97.05820070609705
1D16,B_PA2_to_C2,87,-21.85255162814546,155.0376874840803,-98.54128635480696,-15.53,202.71,-51.8,13.091234291580413,0.8182021432237758,0.8498837177183507,-0.30765898166507716,96.51994170057414
1D16,B_PA2_to_C2,88,-20.772857377273507,155.08965376136825,-98.6307256717608,-14.18,202.8,-51.8,13.010700369289843,0.8131687730806152,0.8497516820319444,-0.36125738269442587,95.92617572623789
1D16,B_PA2_to_C2,89,-19.692652288997586,155.13963285791397,-98.71498233580527,-12.83,202.89,-51.8,12.924673576815065,0.8077920985509416,0.8495702364796114,-0.41887922129166855,95.29191154538114
1D16,B_PA2_to_C2,90,-18.61196423594128,155.18762180084667,-98.79404690542012,-11.48,202.98,-51.8,12.833399603980551,0.8020874752487844,0.8493394983738246,-0.48043654101538574,94.61896059663576
1D16,B_PA2_to_C2,91,-17.53082121803602,155.2336156026439,-98.86791142702478,-10.13,203.05,-51.8,12.737001489576222,0.7960625930985139,0.8493573474980938,-0.5459268981397167,93.90823002875224
1D16,B_PA2_to_C2,92,-16.44925130893432,155.27761120152687,-98.93656618480166,-8.779999999999998,203.11,-51.8,12.635715551177789,0.7897322219486118,0.8494425823348396,-0.615274075626804,93.16146218000996
1D16,B_PA2_to_C2,93,-15.367282953400316,155.31960635618893,-99.00000520316732,-7.429999999999999,203.16,-51.8,12.529334602196805,0.7830834126373003,0.8495219559908712,-0.6887107412406805,92.37712949105182
1D16,B_PA2_to_C2,94,-14.28493673047202,155.3595507877873,-99.05810188618948,-6.08,203.21,-51.8,12.418155539793284,0.7761347212370803,0.849595577448648,-0.7661289868224298,91.55742094543257
1D16,B_PA2_to_C2,95,-13.20224339567479,155.3974442967575,-99.1108541938934,-4.73,203.24,-51.8,12.303058533522307,0.7689411583451442,0.8496626187867946,-0.8470090855696015,90.70882591705313
1D16,B_PA2_to_C2,96,-12.119239570985169,155.4333259341982,-99.15836949775446,-3.38,203.27,-51.8,12.184556428572591,0.761534776785787,0.8497234550350448,-0.9310764185489067,89.83512554576745
1D16,B_PA2_to_C2,97,-11.03595403858412,155.46719473161767,-99.20064078858212,-2.03,203.29,-51.8,12.06232738713998,0.7538954616962488,0.8497782296069043,-1.0186486579882201,88.93394696394493
1D16,B_PA2_to_C2,98,-9.952415705712683,155.49904677165716,-99.23766471970472,-0.68,203.3,-51.8,11.936605796733282,0.7460378622958301,0.8498269601910154,-1.1096538573092054,88.00701827973657
1D16,B_PA2_to_C2,99,-8.868653542257167,155.52888109151874,-99.2694358153294,0.68,203.3,-51.8,11.80442751533246,0.7377767197082787,0.8498706387725428,-1.2063722951605413,87.03248526545123
1D16,B_PA2_to_C2,100,-7.784696647000554,155.55669596799535,-99.295951680497,2.03,203.29,-51.8,11.672338898821028,0.7295211811763143,0.8499071690821589,-1.3041131195813807,86.05861333855489
1D16,B_PA2_to_C2,101,-6.700574090627914,155.58248888798403,-99.31720834713164,3.38,203.27,-51.8,11.537444617531873,0.7210902885957421,0.8499376748677452,-1.4050783036951207,85.06405561574766
1D16,B_PA2_to_C2,102,-5.616315065931505,155.6062589687898,-99.33320358502304,4.73,203.24,-51.8,11.399976414592489,0.7124985259120306,0.8499621468897895,-1.5091918336322696,84.0505207085063
1D16,B_PA2_to_C2,103,-4.531948766026188,155.62800404835014,-99.34393501923688,6.08,203.21,-51.8,11.260483724003684,0.7037802327502303,0.849980579645279,-1.6161299463523717,83.02205952116455
