config,condition,scan_id,pa_x,pa_y,pa_z,focus_x,focus_y,focus_z,beam_sum,beam_mean,beam_max,beam_db,beam_percent
1D32,A_PA1_to_C1,92,-20.727453063034623,212.43480425702376,-90.77162563826468,-9.14,172.66,-51.8,25.156529658548536,0.7861415518296417,0.9997492978707893,-1.3545857348074855,85.55998765937248
1D32,A_PA1_to_C1,93,-19.27509516286899,212.65187307593305,-90.81339786387645,-7.74,172.73,-51.8,23.585088336837366,0.7370340105261677,0.9990941136037976,-1.914850190776804,80.2153514190814
1D32,A_PA1_to_C1,94,-17.819519238473163,212.8477616926178,-90.84677561774735,-6.33,172.78,-51.8,22.01086343888462,0.6878394824651444,0.9992425334437971,-2.5148587485227027,74.86124794495042
1D32,A_PA1_to_C1,95,-16.361134123678585,213.0228626326401,-90.87192424144814,-4.92,172.83,-51.8,20.42628621734535,0.6383214442920422,0.999956779105502,-3.1638120742948144,69.47193513589404
1D32,A_PA1_to_C1,96,-14.90026325715754,213.17704027493127,-90.8888001372905,-3.52,172.86,-51.8,18.79969628305401,0.5874905088454379,0.9982032117911097,-3.884583672830695,63.93973269804568
1D32,A_PA1_to_C1,97,-13.43703824777575,213.30785671798188,-90.89645133311062,-2.11,172.89,-51.8,17.187941443078063,0.5371231700961895,0.9981447025600507,-4.6631230263908146,58.457985967076574
1D32,A_PA1_to_C1,98,-11.971971855513626,213.41633410235175,-90.89529536304708,-0.7,172.9,-51.8,15.786182465417067,0.49331820204428334,0.9997066155304757,-5.402057968785031,53.69045712037279
1D32,A_PA1_to_C1,99,-10.505520051148409,213.5035449776888,-90.88576482916936,0.7,172.9,-51.8,14.569943667582887,0.4553107396119652,0.9999381013045612,-6.098442882236874,49.55390180268886
1D32,A_PA1_to_C1,100,-9.03802752308437,213.56942533875437,-90.86784563242011,2.11,172.89,-51.8,13.413626448956384,0.419175826529887,0.998795176730322,-6.816676181679209,45.62114604110931
1D32,A_PA1_to_C1,101,-7.569807923952865,213.61171415695904,-90.84065939040936,3.52,172.86,-51.8,12.374555028964108,0.3867048446551284,0.996098490419393,-7.517008509318044,42.08715549955084
1D32,A_PA1_to_C1,102,-6.101304348598901,213.63124009584075,-90.8045463307863,4.92,172.83,-51.8,11.527911932621166,0.3602472478944114,0.9942041052656547,-8.132587334465752,39.20763380644722
1D32,A_PA1_to_C1,103,-4.63290635035838,213.62934326947368,-90.76004220259485,6.33,172.78,-51.8,10.806753717225096,0.33771105366328424,0.9963921982104176,-8.693695252349244,36.75489931376351
1D32,A_PA1_to_C1,104,-3.164963838314088,213.606033551836,-90.70716071871894,7.74,172.73,-51.8,10.142772304252997,0.31696163450790615,0.9981459321936974,-9.244466813259798,34.49662910435723
1D32,A_PA1_to_C1,105,-1.697943285825935,213.55919295710223,-90.64508693655804,9.14,172.66,-51.8,9.55226337955597,0.2985082306111241,0.99934286310529,-9.765474564568512,32.48824650963562
1D32,A_PA1_to_C1,106,-0.2322283949211495,213.48964013175785,-90.57415246751472,10.55,172.58,-51.8,9.052265322283667,0.2828832913213646,0.9999220081410287,-10.232454841881104,30.787700838568018
1D32,A_PA1_to_C1,107,1.2318954371084,213.3988401321371,-90.494939805427,11.95,172.49,-51.8,8.626586931213765,0.26958084160043017,0.999948004440261,-10.650820272738788,29.339924122894285
1D32,A_PA1_to_C1,108,2.6940895608745743,213.2868762750944,-90.40749239818872,13.36,172.38,-51.8,8.222499067587716,0.2569530958621161,0.9994119354336154,-11.067523676928417,27.965579048497336
1D32,A_PA1_to_C1,109,4.153793231843601,213.15203258624496,-90.31115359116733,14.76,172.27,-51.8,7.848561331248375,0.2452675416015117,0.9982597107950344,-11.471799208211515,26.69377770940859
1D32,A_PA1_to_C1,110,5.610639042819751,212.9946945263486,-90.20608538842838,16.16,172.14,-51.8,7.524233629554592,0.235132300923581,0.9965878820556979,-11.838354894010656,25.59070528522456
1D32,A_PA1_to_C1,111,7.064485336711198,212.81660122945664,-90.09297442379186,17.56,172.01,-51.8,7.238260677873962,0.2261956461835613,0.9944633581832826,-12.17491594137196,24.6180813760919
1D32,A_PA1_to_C1,112,8.51502038884186,212.61790787921868,-89.97189010856013,18.96,171.86,-51.8,6.969098923984822,0.21778434137452568,0.991758211091948,-12.504067750545513,23.702634108376095
1D32,A_PA1_to_C1,113,9.961751170364485,212.3978116720477,-89.84253296538209,20.36,171.7,-51.8,6.70787718429429,0.20962116200919656,0.9883306399063946,-12.835898286410183,22.814191659133627
1D32,A_PA1_to_C1,114,11.404091829012076,212.15529861284764,-89.70452284322879,21.75,171.53,-51.8,6.475078688397115,0.20234620901240985,0.9844855486042755,-13.142699324077123,22.02241963388076
1D32,A_PA1_to_C1,115,12.842164013141216,211.89280589036773,-89.55881087418322,23.15,171.34,-51.8,6.268132475332475,0.19587913985413985,0.9803110510599302,-13.424837003196977,21.31857392557784
1D32,A_PA1_to_C1,116,14.27569473601576,211.61054562237044,-89.40548865092514,24.54,171.15,-51.8,6.077210595119128,0.18991283109747276,0.9814896725891722,-13.693514608565739,20.669228648757944
1D32,A_PA1_to_C1,117,15.704420609000886,211.30873996345576,-89.24465069119623,25.94,170.94,-51.8,5.886637575803979,0.18395742424387435,0.9834060820936106,-13.970254368857118,20.021069884328657
1D32,A_PA1_to_C1,118,17.127467061117866,210.9853888030928,-89.07554022675586,27.33,170.73,-51.8,5.7082631394241155,0.1783832231070036,0.9852187283286007,-14.237520634977832,19.41439977590921
1D32,A_PA1_to_C1,119,18.54500242105926,210.64245975846785,-88.89892252982663,28.71,170.5,-51.8,5.552547492621146,0.17351710914441082,0.9868086821414189,-14.477754697288734,18.884794579975285
1D32,A_PA1_to_C1,120,19.95695951902884,210.28081088695933,-88.71513602499982,30.1,170.26,-51.8,5.406352085567158,0.16894850267397368,0.988311139986083,-14.709513825826185,18.387568714835112
1D32,A_PA1_to_C1,121,21.36312255140996,209.9007043348374,-88.52429015015632,31.49,170.01,-51.8,5.26851953823093,0.16464123556971658,0.9897275325323291,-14.933828435761827,17.91878580999036
1D32,A_PA1_to_C1,122,22.763287163308185,209.50241116711732,-88.32649553713337,32.87,169.75,-51.8,5.133792907048086,0.1604310283452527,0.9911097471833886,-15.15883342287798,17.460566450728468
