condition,scan_id,pa_x,pa_y,pa_z,focus_x,focus_y,focus_z,beam_amplitude,edm_response,beam_dB,edm_response_dB
A_PA1_to_C1,26,-111.3703618298478,167.31584232356897,-79.89689390000001,-94.0584099843881,145.07942248890697,-51.8,0.5036554754031579,0.5036554754031579,-5.130477558244733,-5.130477558244733
A_PA1_to_C1,27,-109.84883488179057,167.85016377831334,-79.50620210999999,-92.79086403932423,145.89280952110386,-51.8,0.5106071151690563,0.5106071151690563,-5.011411505958624,-5.011411505958624
A_PA1_to_C1,28,-108.34177621247846,168.3729833905493,-79.11749698999998,-91.51717346437468,146.69657134598236,-51.8,0.5176289642359992,0.5176289642359992,-4.892777360715938,-4.892777360715938
A_PA1_to_C1,29,-106.81977257639308,168.8926958202528,-78.73818939,-90.23528945900809,147.48719891243675,-51.8,0.5247176651009164,0.5247176651009164,-4.774635044317125,-4.774635044317125
A_PA1_to_C1,30,-105.30238674884818,169.40373249527613,-78.36332236999998,-88.94780272681719,148.268662840241,-51.8,0.5318930713366797,0.5318930713366797,-4.656662090549197,-4.656662090549197
A_PA1_to_C1,31,-103.7797381079438,169.9088316035536,-77.99528525000001,-87.65227176658898,149.03671069321462,-51.8,0.5391190099196694,0.5391190099196694,-4.539455835798289,-4.539455835798289
A_PA1_to_C1,32,-102.26165901669007,170.40530053530316,-77.63168039999998,-86.34949863549022,149.79241881570235,-51.8,0.5463900563186241,0.5463900563186241,-4.42309301010338,-4.42309301010338
A_PA1_to_C1,33,-100.73821588591268,170.89581172542313,-77.2748287,-85.0417941166962,150.53955906514722,-51.8,0.5537665797675674,0.5537665797675674,-4.306613907647233,-4.306613907647233
A_PA1_to_C1,34,-99.20933140422562,171.38032114943243,-76.92465684999999,-83.72823726153902,151.27634037573452,-51.8,0.561230214844863,0.561230214844863,-4.190327871327409,-4.190327871327409
A_PA1_to_C1,35,-97.68491183004616,171.85623390918215,-76.57886669999998,-82.40714701892483,151.9995254010648,-51.8,0.5687193743977119,0.5687193743977119,-4.0751882818759,-4.0751882818759
A_PA1_to_C1,36,-96.1649540235696,172.32360542639685,-76.23748559,-81.0798895086162,152.71134913251072,-51.8,0.5762562522369978,0.5762562522369978,-3.9608357434311725,-3.9608357434311725
A_PA1_to_C1,37,-94.63941945796928,172.78497336012433,-75.90269618,-79.74659150288586,153.41177241849934,-51.8,0.5838604681925844,0.5838604681925844,-3.846967327689157,-3.846967327689157
A_PA1_to_C1,38,-93.1082279973556,173.24029073689803,-75.57442215999998,-78.40622889335077,154.0985821494091,-51.8,0.5915034342671316,0.5915034342671316,-3.734003341964462,-3.734003341964462
A_PA1_to_C1,39,-91.5813825609665,173.6870967325329,-75.2504995,-77.06195424658135,154.777735059723,-51.8,0.5992388156552765,0.5992388156552765,-3.6211500116515594,-3.6211500116515594
A_PA1_to_C1,40,-90.0487675183836,174.1278245157779,-74.93300594,-75.7105597045925,155.44256140405722,-51.8,0.6069985373340678,0.6069985373340678,-3.5093958602325137,-3.5093958602325137
A_PA1_to_C1,41,-88.5103007915459,174.56242420266707,-74.62186264999998,-74.35368967034066,156.0961805520411,-51.8,0.6148280536360694,0.6148280536360694,-3.398075242573645,-3.398075242573645
A_PA1_to_C1,42,-86.98621380095268,174.9862308612962,-74.31302443,-72.99238922269329,156.74052477668033,-51.8,0.6226889161503011,0.6226889161503011,-3.2877260444886396,-3.2877260444886396
A_PA1_to_C1,43,-85.44602545675441,175.40622010900307,-74.01246354,-71.62101700127599,157.36313292129682,-51.8,0.6304870035228999,0.6304870035228999,-3.1796259772777002,-3.1796259772777002
A_PA1_to_C1,44,-83.90998951795798,175.81776146005106,-73.71616815999998,-70.24867532346667,157.9836085780031,-51.8,0.638451447754506,0.638451447754506,-3.0705912294084454,-3.0705912294084454
