condition,probe_type,scan_id,element_id,frequency_mhz,pitch_x_mm,pitch_y_mm,pa_x,pa_y,pa_z,focus_x,focus_y,focus_z,element_x,element_y,element_z,distance_mm,delay_us
B_PA2_to_C2,1D,0,1,5.0,0.6,0.6,-111.344089,143.730347,-72.942256,-123.81,161.25,-51.8,-115.32790251182183,142.92255605557204,-71.01178877854143,27.87353596884324,1.5553353935213785
B_PA2_to_C2,1D,0,2,5.0,0.6,0.6,-111.344089,143.730347,-72.942256,-123.81,161.25,-51.8,-114.79672737691226,143.0302615148291,-71.26918440806924,28.146884292253855,1.4707074296171623
B_PA2_to_C2,1D,0,3,5.0,0.6,0.6,-111.344089,143.730347,-72.942256,-123.81,161.25,-51.8,-114.26555224200267,143.13796697408617,-71.52658003759704,28.43026878727417,1.382972291839975
B_PA2_to_C2,1D,0,4,5.0,0.6,0.6,-111.344089,143.730347,-72.942256,-123.81,161.25,-51.8,-113.7343771070931,143.24567243334323,-71.78397566712485,28.723392405351163,1.2922219456861068
B_PA2_to_C2,1D,0,5,5.0,0.6,0.6,-111.344089,143.730347,-72.942256,-123.81,161.25,-51.8,-113.20320197218352,143.3533778926003,-72.04137129665267,29.025960091389127,1.1985477394824038
B_PA2_to_C2,1D,0,6,5.0,0.6,0.6,-111.344089,143.730347,-72.942256,-123.81,161.25,-51.8,-112.67202683727395,143.46108335185735,-72.29876692618048,29.337679648909578,1.102040136534896
B_PA2_to_C2,1D,0,7,5.0,0.6,0.6,-111.344089,143.730347,-72.942256,-123.81,161.25,-51.8,-112.14085170236436,143.56878881111442,-72.55616255570828,29.65826251042317,1.0027884766235662
B_PA2_to_C2,1D,0,8,5.0,0.6,0.6,-111.344089,143.730347,-72.942256,-123.81,161.25,-51.8,-111.60967656745478,143.67649427037148,-72.81355818523609,29.987424415783046,0.9008807659858338
B_PA2_to_C2,1D,0,9,5.0,0.6,0.6,-111.344089,143.730347,-72.942256,-123.81,161.25,-51.8,-111.07850143254521,143.7841997296285,-73.07095381476391,30.324886002216587,0.7964034946441796
B_PA2_to_C2,1D,0,10,5.0,0.6,0.6,-111.344089,143.730347,-72.942256,-123.81,161.25,-51.8,-110.54732629763564,143.89190518888557,-73.32834944429172,30.67037331045321,0.6894414797102417
