condition,probe_type,scan_id,element_id,frequency_mhz,pitch_x_mm,pitch_y_mm,pa_x,pa_y,pa_z,focus_x,focus_y,focus_z,element_x,element_y,element_z,distance_mm,delay_us
B_PA2_to_C2,2D,0,31,5.0,0.6,0.6,-111.344089,143.730347,-72.942256,-123.81,161.25,-51.8,-109.88005463518772,143.83874883203495,-73.37220067255704,31.02506868578521,0.13296270546618238
B_PA2_to_C2,2D,0,32,5.0,0.6,0.6,-111.344089,143.730347,-72.942256,-123.81,161.25,-51.8,-109.34887950027814,143.946454291292,-73.62959630208485,31.385792564675167,0.02128348599560681
B_PA2_to_C2,2D,0,33,5.0,0.6,0.6,-111.344089,143.730347,-72.942256,-123.81,161.25,-51.8,-113.33929849972185,143.51423970870798,-72.25491569791515,29.027510386302747,0.7514018074731368
B_PA2_to_C2,2D,0,34,5.0,0.6,0.6,-111.344089,143.730347,-72.942256,-123.81,161.25,-51.8,-112.80812336481227,143.62194516796504,-72.51231132744296,29.339213472450872,0.6548993040217042
B_PA2_to_C2,2D,0,35,5.0,0.6,0.6,-111.344089,143.730347,-72.942256,-123.81,161.25,-51.8,-112.27694822990269,143.7296506272221,-72.76970695697077,29.659779755371954,0.5556527768015567
B_PA2_to_C2,2D,0,36,5.0,0.6,0.6,-111.344089,143.730347,-72.942256,-123.81,161.25,-51.8,-111.74577309499311,143.83735608647916,-73.02710258649857,29.98892500728062,0.4537502220310703
B_PA2_to_C2,2D,0,37,5.0,0.6,0.6,-111.344089,143.730347,-72.942256,-123.81,161.25,-51.8,-111.21459796008354,143.9450615457362,-73.28449821602639,30.326369895644145,0.3492781203705366
B_PA2_to_C2,2D,0,38,5.0,0.6,0.6,-111.344089,143.730347,-72.942256,-123.81,161.25,-51.8,-110.68342282517396,144.05276700499326,-73.5418938455542,30.67184048932441,0.24232128022184796
B_PA2_to_C2,2D,0,39,5.0,0.6,0.6,-111.344089,143.730347,-72.942256,-123.81,161.25,-51.8,-110.15224769026437,144.16047246425032,-73.799289475082,31.0250686857852,0.13296270546618594
B_PA2_to_C2,2D,0,40,5.0,0.6,0.6,-111.344089,143.730347,-72.942256,-123.81,161.25,-51.8,-109.6210725553548,144.26817792350738,-74.05668510460981,31.385792564675157,0.021283485995610363
