condition,scan_id,pa_x,pa_y,pa_z,focus_x,focus_y,focus_z,beam_amplitude,edm_response,beam_dB,edm_response_dB
B_PA2_to_C2,11,-90.09067323036084,134.06172646453413,-93.61482263,-111.7,169.86,-51.8,0.33897440156868114,0.33897440156868114,-0.19268902863844337,-0.19268902863844337
B_PA2_to_C2,12,-89.08586024753987,134.64530247794522,-93.68446651,-110.57,170.6,-51.8,0.3384111402984058,0.3384111402984058,-0.2071340560451771,-0.2071340560451771
B_PA2_to_C2,13,-88.07821003446828,135.22445870700074,-93.74650219999998,-109.43,171.33,-51.8,0.3379109872485791,0.3379109872485791,-0.2199808188758937,-0.2199808188758937
B_PA2_to_C2,14,-87.06863298333616,135.79714571340764,-93.81596148,-108.29,172.06,-51.8,0.33735270280824364,0.33735270280824364,-0.23434320267256747,-0.23434320267256747
B_PA2_to_C2,15,-86.06674050486093,136.35975562465524,-93.87386037,-107.15,172.77,-51.8,0.3368886911674251,0.3368886911674251,-0.24629842991082254,-0.24629842991082254
B_PA2_to_C2,16,-85.05711484783701,136.91970213652166,-93.93383223,-106.0,173.48,-51.8,0.33640944461526684,0.33640944461526684,-0.25866348230958114,-0.25866348230958114
B_PA2_to_C2,17,-84.04445481020291,137.47514817557197,-93.98650077,-104.84,174.18,-51.8,0.33598972717936365,0.33598972717936365,-0.2695071000706961,-0.2695071000706961
B_PA2_to_C2,18,-83.02989620714543,138.02397030722034,-94.04681895,-103.68,174.88,-51.8,0.33551030203324156,0.33551030203324156,-0.2819098831990105,-0.2819098831990105
B_PA2_to_C2,19,-82.02284923118857,138.56292889870124,-94.0955844,-102.52,175.56,-51.8,0.33512365436137803,0.33512365436137803,-0.2919254195335669,-0.2919254195335669
B_PA2_to_C2,20,-81.00797007779987,139.09895099755246,-94.14684997,-101.35,176.24,-51.8,0.33471817856047315,0.33471817856047315,-0.30244109148667975,-0.30244109148667975
B_PA2_to_C2,21,-79.98985380282676,139.6303791896473,-94.1911362,-100.17,176.91,-51.8,0.33436866328871284,0.33436866328871284,-0.31151570232516596,-0.31151570232516596
B_PA2_to_C2,22,-78.97445360186921,140.15358025375622,-94.23360183,-98.99,177.57,-51.8,0.33403423778263347,0.33403423778263347,-0.32020741588802887,-0.32020741588802887
B_PA2_to_C2,23,-77.96176675772058,140.66861322988618,-94.27421583999998,-97.81,178.22,-51.8,0.333715048351826,0.333715048351826,-0.3285112641686909,-0.3285112641686909
B_PA2_to_C2,24,-76.9411542991823,141.18042021534526,-94.31777737,-96.62,178.87,-51.8,0.3333733702664158,0.3333733702664158,-0.33740897043464607,-0.33740897043464607
B_PA2_to_C2,25,-75.9232444531395,141.68402052323444,-94.35958453,-95.43,179.51,-51.8,0.3330460808116498,0.3330460808116498,-0.3459405350753766,-0.3459405350753766
B_PA2_to_C2,26,-74.90803295846294,142.1794737384366,-94.39960685,-94.24,180.14,-51.8,0.33273333130046695,0.33273333130046695,-0.35410091939752775,-0.35410091939752775
B_PA2_to_C2,27,-73.88930250705718,142.67027920054565,-94.43303936,-93.04,180.76,-51.8,0.3324725513326068,0.3324725513326068,-0.3609111602442403,-0.3609111602442403
B_PA2_to_C2,28,-72.86256143441832,143.15755314239664,-94.46988598,-91.83,181.38,-51.8,0.33218561673788227,0.33218561673788227,-0.3684106013033388,-0.3684106013033388
B_PA2_to_C2,29,-71.84906988089436,143.63215031348173,-94.49989358,-90.63,181.98,-51.8,0.3319522760622937,0.3319522760622937,-0.37451406704923884,-0.37451406704923884
B_PA2_to_C2,30,-70.82124947390368,144.10650975148727,-94.52880876,-89.40999999999998,182.58,-51.8,0.33172779406265523,0.33172779406265523,-0.38038986786568285,-0.38038986786568285
B_PA2_to_C2,31,-69.80230898618166,144.569419919906,-94.56072751,-88.2,183.17,-51.8,0.33148031780692416,0.33148031780692416,-0.38687215150069654,-0.38687215150069654
B_PA2_to_C2,32,-68.77959137778046,145.02757896515322,-94.58645539,-86.98,183.75,-51.8,0.33128113662296177,0.33128113662296177,-0.39209293138280676,-0.39209293138280676
B_PA2_to_C2,33,-67.75518633892153,145.47862928269154,-94.62058292,-85.76,184.33,-51.8,0.33101723400404526,0.33101723400404526,-0.39901497512043715,-0.39901497512043715
B_PA2_to_C2,34,-66.73110119093552,145.9239363184515,-94.63870817,-84.53,184.89,-51.8,0.33087722989994905,0.33087722989994905,-0.4026894588380345,-0.4026894588380345
B_PA2_to_C2,35,-65.70531941137486,146.362086083332,-94.66534497,-83.29999999999998,185.45,-51.8,0.3306717657863872,0.3306717657863872,-0.40808479216632987,-0.40808479216632987
B_PA2_to_C2,36,-64.67553897289534,146.79533630202036,-94.68618823,-82.06,186.0,-51.8,0.330511120530242,0.330511120530242,-0.41230555172345074,-0.41230555172345074
B_PA2_to_C2,37,-63.648181633916536,147.22055125649797,-94.70559865,-80.81999999999998,186.54,-51.8,0.33036173194143725,0.33036173194143725,-0.41623239729682293,-0.41623239729682293
B_PA2_to_C2,38,-62.61922779818277,147.63847542402297,-94.73368904,-79.58,187.08,-51.8,0.3301457068371233,0.3301457068371233,-0.4219139995676355,-0.4219139995676355
B_PA2_to_C2,39,-61.59671464743397,148.04774852914096,-94.75018278,-78.34,187.6,-51.8,0.330018970223156,0.330018970223156,-0.42524898640894127,-0.42524898640894127
B_PA2_to_C2,40,-60.566037501523134,148.45271926934734,-94.7713218,-77.09,188.12,-51.8,0.3298567420416125,0.3298567420416125,-0.4295197788726412,-0.4295197788726412
B_PA2_to_C2,41,-59.53774555123205,148.84971724342887,-94.79109671,-75.84,188.63,-51.8,0.32970507876012456,0.32970507876012456,-0.4335143416469633,-0.4335143416469633
