config,condition,scan_id,pa_x,pa_y,pa_z,focus_x,focus_y,focus_z,geometry_echo_max,geometry_x,geometry_y,geometry_z,edm_response,born_response,edge_gtd_response,edm_x,edm_y,edm_z,edm_vs_geometry_dB,geometry_echo_dB_norm,edm_response_dB_norm
2D8x8,A_PA1_to_C1,112,8.51502038884186,212.61790787921868,-89.97189010856013,18.96,171.86,-51.8,0.35348015312383557,19.0872,172.0771,-51.7933,0.4339846676761511,0.423446635511886,0.010538032164265113,18.96,171.86,-51.8,1.7821870412196947,-10.304295193173347,-10.794023062839447
2D8x8,A_PA1_to_C1,113,9.961751170364485,212.3978116720477,-89.84253296538209,20.36,171.7,-51.8,0.35669847676074806,20.4103,171.8947,-52.4603,0.4357620415541082,0.4244852652901351,0.011276776263973122,20.36,171.7,-51.8,1.738962844200658,-10.225570787470337,-10.758522854155474
2D8x8,A_PA1_to_C1,114,11.404091829012076,212.15529861284764,-89.70452284322879,21.75,171.53,-51.8,0.35799947819214595,21.7355,171.7319,-52.4603,0.437530440379656,0.42564714021727307,0.01188330016238291,21.75,171.53,-51.8,1.7425176004350404,-10.193948009608118,-10.723345320058872
2D8x8,A_PA1_to_C1,115,12.842164013141216,211.89280589036773,-89.55881087418322,23.15,171.34,-51.8,0.3564917568149424,22.9889,171.0352,-53.6759,0.4392690380418093,0.42683413728387304,0.012434900757936244,23.15,171.34,-51.8,1.8136220187518282,-10.230606040621621,-10.688898932755588
2D8x8,A_PA1_to_C1,116,14.27569473601576,211.61054562237044,-89.40548865092514,24.54,171.15,-51.8,0.3606545624335002,24.3819,171.3756,-52.4603,0.44102846698981507,0.4281821864702815,0.012846280519533545,24.54,171.15,-51.8,1.7475038426876013,-10.129767270825422,-10.654178339023614
2D8x8,A_PA1_to_C1,117,15.704420609000886,211.30873996345576,-89.24465069119623,25.94,170.94,-51.8,0.3589399973822853,25.7075,171.2117,-51.7933,0.44270199995699455,0.42955409944829287,0.013147900508701694,25.94,170.94,-51.8,1.8217925729892757,-10.171158776060047,-10.621281113956568
2D8x8,A_PA1_to_C1,118,17.127467061117866,210.9853888030928,-89.07554022675586,27.33,170.73,-51.8,0.3612320125881608,26.9399,170.4565,-53.6759,0.4444026377255948,0.43110328133225284,0.013299356393341944,27.33,170.73,-51.8,1.7998079446530955,-10.115871266776571,-10.58797823300927
2D8x8,A_PA1_to_C1,119,18.54500242105926,210.64245975846785,-88.89892252982663,28.71,170.5,-51.8,0.362846032901657,28.2538,170.2433,-53.6759,0.4460863050728873,0.43270618225546215,0.0133801228174252,28.71,170.5,-51.8,1.7939302270223292,-10.077148298656422,-10.555132982519888
2D8x8,A_PA1_to_C1,120,19.95695951902884,210.28081088695933,-88.71513602499982,30.1,170.26,-51.8,0.36601880681297844,29.6567,170.5404,-52.4603,0.44777304817268,0.4343852679409049,0.013387780231775111,30.1,170.26,-51.8,1.7510909712086788,-10.001527863679664,-10.52235180335678
2D8x8,A_PA1_to_C1,121,21.36312255140996,209.9007043348374,-88.52429015015632,31.49,170.01,-51.8,0.36610855575340556,30.8765,169.7864,-53.6759,0.4494553849357705,0.4361541961436701,0.013301188792100366,31.49,170.01,-51.8,1.7815341973331391,-9.999398317823447,-10.489779031376102
2D8x8,A_PA1_to_C1,122,22.763287163308185,209.50241116711732,-88.32649553713337,32.87,169.75,-51.8,0.36775279288653395,32.1851,169.5427,-53.6759,0.45111078330735693,0.43802732066160005,0.013083462645756857,32.87,169.75,-51.8,1.7745445781329123,-9.960476289291691,-10.457846622044574
2D8x8,A_PA1_to_C1,123,24.15657910066909,209.08432508444196,-88.12115160875746,34.25,169.47,-51.8,0.37156838247674806,33.5576,169.6211,-53.1004,0.45273561193755474,0.4399452293493868,0.012790382588167951,34.25,169.47,-51.8,1.7161181066063715,-9.870820844701042,-10.426617648980464
2D8x8,A_PA1_to_C1,124,25.543293466436644,208.6482072407228,-87.90893755362836,35.63,169.19,-51.8,0.37314236215261454,34.8648,169.3567,-53.1004,0.45446201701865135,0.4420124459070362,0.01244957111161516,35.63,169.19,-51.8,1.7124607035153927,-9.834104752680487,-10.39355896005089
2D8x8,A_PA1_to_C1,125,26.92344255045924,208.19485717158383,-87.69016649807516,37.0,168.89,-51.8,0.37296050366803946,36.2098,169.268,-52.4603,0.4561892590940705,0.44412289964980495,0.012066359444265514,37.0,168.89,-51.8,1.74964425980498,-9.838339028757982,-10.360609679838797
2D8x8,A_PA1_to_C1,126,28.296872416348656,207.724568192602,-87.46495907252391,38.38,168.59,-51.8,0.3704975451283968,38.8232,168.7175,-51.7933,0.4579748451594635,0.44636424366359667,0.011610601495866839,38.38,168.59,-51.8,1.8411257949882056,-9.895889187386839,-10.326678303284428
2D8x8,A_PA1_to_C1,127,29.663439688942976,207.23763640733537,-87.2334345109946,39.75,168.27,-51.8,0.3740653563480103,40.1163,168.3833,-52.4603,0.4597658783566247,0.44864687491545757,0.011119003441167109,39.75,168.27,-51.8,1.7917849699552155,-9.812646115150624,-10.292776056081204
2D8x8,A_PA1_to_C1,128,31.023012683729167,206.73436170913817,-86.99571479085466,41.12,167.94,-51.8,0.3771764284377125,40.1163,168.3833,-52.4603,0.46156903844171393,0.45101464450885,0.010554393932863936,41.12,167.94,-51.8,1.7538425068867702,-9.740705006833528,-10.25877741083255
2D8x8,A_PA1_to_C1,129,32.37470356525212,206.2133764793259,-86.75128976688967,42.48,167.6,-51.8,0.3795888329072437,42.7088,167.7433,-52.4603,0.46345644753320164,0.45349550943982614,0.009960938093375525,42.48,167.6,-51.8,1.7339100180768714,-9.685327332849198,-10.223332225658119
2D8x8,A_PA1_to_C1,130,33.719101063085496,205.67660809481976,-86.50089817554122,43.84,167.25,-51.8,0.3812256684029539,43.953,167.2247,-53.1004,0.46543040101187805,0.45606064151019543,0.00936975950168259,43.84,167.25,-51.8,1.7334522521520443,-9.647953191366254,-10.186415850100003
2D8x8,A_PA1_to_C1,131,35.05617762104751,205.12451340531013,-86.24471920298933,45.2,166.89,-51.8,0.38494485759957575,43.953,167.2247,-53.1004,0.46746678758873794,0.45870833840320974,0.008758449185528202,45.2,166.89,-51.8,1.6870447671133058,-9.563625435204873,-10.14849557897736
