config,condition,scan_id,pa_x,pa_y,pa_z,focus_x,focus_y,focus_z,beam_sum,beam_mean,beam_max,beam_db,beam_percent,geometry_echo_percent,edm_echo_percent,edm_minus_geometry_db
1D16,A_PA1_to_C1,0,-126.47159,137.926021,-64.727672,-124.23,120.25,-51.8,3.5851312246057985,0.2240707015378624,0.8373603862475794,-11.546646434619149,26.464742839701017,35.69500936248267,43.04619704237291,1.6265457823006555
1D16,A_PA1_to_C1,1,-125.5875311773166,139.02719128142945,-65.13280492576665,-123.25,121.26,-51.8,3.614599960721578,0.22591249754509862,0.8377199530600107,-11.475542774643037,26.682275329938072,35.8963478306188,43.308746961678956,1.6305070761550458
1D16,A_PA1_to_C1,2,-124.6997361978672,140.12576271513814,-65.53680832565904,-122.26,122.26,-51.8,3.6507602515054165,0.22817251571908853,0.8381881290898061,-11.389081297352897,26.949203577929413,36.097483567984256,43.58497062898303,1.6371966057339953
1D16,A_PA1_to_C1,3,-123.80814054759924,141.2216765912607,-65.93965723338754,-121.26,123.25,-51.8,3.6883012703639677,0.23051882939774798,0.8386482735119117,-11.300219801974338,27.226324092574224,36.298214047941045,43.86381137403873,1.6444221596325657
1D16,A_PA1_to_C1,4,-122.9126787053178,142.31487245796063,-66.3413259657362,-120.25,124.23,-51.8,3.7296692428089075,0.23310432767555672,0.8391430933842945,-11.203341183342273,27.53169443579661,36.49833715191105,44.150115130597655,1.653175235707426
1D16,A_PA1_to_C1,5,-122.01174866453802,143.40418686963125,-66.74131078089212,-119.24,125.21,-51.8,3.771534571116279,0.23572091069476744,0.8396159485731723,-11.106385706300077,27.840736163460583,36.69765137289228,44.436897144682256,1.6621091134966093
1D16,A_PA1_to_C1,6,-121.10663104890662,144.49049807357036,-67.13999408581748,-118.22,126.17,-51.8,3.8116968904214668,0.23823105565134167,0.8400208884982429,-11.014380408402054,28.137206609218012,36.89595601835935,44.71949415774107,1.6703622898021688
1D16,A_PA1_to_C1,7,-120.19746436062516,145.57388656308214,-67.53741160967894,-117.19,127.13,-51.8,3.8534022123087515,0.24083763826929697,0.8404249977829146,-10.919860717768358,28.445067200545544,37.09305141234385,45.00441302343578,1.6792508049651693
1D16,A_PA1_to_C1,8,-119.2841803722571,146.65428488520172,-67.93353475243892,-116.15,128.08,-51.8,3.89787507146489,0.24361719196655562,0.8408394276782043,-10.820189251724472,28.773357214823296,37.28873909649108,45.29402730597859,1.689264789108408
1D16,A_PA1_to_C1,9,-118.36592519347504,147.73104304627157,-68.32808255362077,-115.1,129.02,-51.8,3.9452515512739432,0.24657822195462145,0.8412627103905217,-10.715253580033263,29.123081193179136,37.48282202989085,45.58849069685867,1.7004586665368935
1D16,A_PA1_to_C1,10,-117.44257785267718,148.80403214082943,-68.72100263076132,-114.05,129.95,-51.8,3.990778078569498,0.24942362991059364,0.841631167080073,-10.615596006125674,29.45914918114908,37.67510478748093,45.87794822806377,1.7109903612163118
1D16,A_PA1_to_C1,11,-116.514922269347,149.87380453703935,-69.1125338929097,-112.99,130.88,-51.8,4.03673691465845,0.2522960571661531,0.8419820946197795,-10.516138642270214,29.798408388722386,37.865393756823536,46.16697780618429,1.7217793648257615
1D16,A_PA1_to_C1,12,-115.58288695538624,150.94028445626716,-69.50264433810658,-111.92,131.79,-51.8,4.083422385631501,0.2552138991019688,0.8423119130338668,-10.416261459662177,30.143031473973043,38.05349733305666,46.456098551708706,1.7329631451958358
1D16,A_PA1_to_C1,13,-114.646399475931,152.00339379708413,-69.8913011714731,-110.84,132.7,-51.8,4.13446207120278,0.25840387945017373,0.8426691694481923,-10.308367322482612,30.519796526251326,38.239226111823875,46.752677739348414,1.7459479107730036
1D16,A_PA1_to_C1,14,-113.7043365345142,153.06224053959426,-70.27812111471913,-109.76,133.6,-51.8,4.186071498331599,0.26162946864572495,0.843006526265839,-10.200614728608855,30.900767300122695,38.422393079988524,47.04891126235925,1.7593033466223849
1D16,A_PA1_to_C1,15,-112.75724424129103,154.11719913348915,-70.66326812092449,-108.67,134.48,-51.8,4.236144517958472,0.2647590323724045,0.843300554014193,-10.09733220864193,31.270396612025554,38.60281380394006,47.3404553620611,1.7722693796789568
1D16,A_PA1_to_C1,16,-111.80550111618676,155.16853095706625,-71.04685566781224,-107.57,135.36,-51.8,4.287499499776668,0.2679687187360418,0.8435886476916369,-9.992665917769981,31.649489120000773,38.780306615303076,47.63308143577128,1.7859487781969277
1D16,A_PA1_to_C1,17,-110.849031768006,156.216148479111,-71.42884697464699,-106.46,136.24,-51.8,4.341245047868572,0.27132781549178575,0.8438799766659296,-9.88446154716103,32.046228324208684,38.954692793861945,47.92908195200615,1.8007865343556513
1D16,A_PA1_to_C1,18,-109.88775968148192,157.25996132776058,-71.80920414042144,-105.35,137.1,-51.8,4.395204715314377,0.2747002947071486,0.8441494084025405,-9.777165405370932,32.44454811592733,39.12579674751695,48.224044356494,1.8160087118974784
1D16,A_PA1_to_C1,19,-108.92107988638196,158.2994494986132,-72.1877053882543,-104.23,137.95,-51.8,4.452912979651035,0.2783070612281897,0.8444286869430838,-9.663863403746355,32.87053932230586,39.29344618909063,48.52528976077107,1.8329603515452741
1D16,A_PA1_to_C1,20,-107.9486474368608,159.33428339378025,-72.56421201203561,-103.1,138.79,-51.8,4.511007052479162,0.2819379407799476,0.8446903368166794,-9.551277443973948,33.29937849208444,39.457472309806334,48.82603624493731,1.850444175308046
1D16,A_PA1_to_C1,21,-106.97120712934904,160.36502322437607,-72.93896483167389,-101.97,139.63,-51.8,4.567588595898734,0.28547428724367085,0.8449257140092205,-9.443007966150942,33.71705246334528,39.61770994926441,49.12253784595046,1.8678285564817776
1D16,A_PA1_to_C1,22,-105.9886806011947,161.39156820008367,-73.3119223265337,-100.83,140.45,-51.8,4.625157329674319,0.2890723331046449,0.8451484211996202,-9.334217359048205,34.14201368220432,39.773997761744695,49.420099251578584,1.886087366189789
1D16,A_PA1_to_C1,23,-105.00098799462336,162.4138139103925,-73.68304140133728,-99.68,141.27,-51.8,4.685592048229665,0.2928495030143541,0.8453756207274906,-9.221458085540784,34.58813104443081,39.926178378667956,49.72279251746692,1.9059553727948229
1D16,A_PA1_to_C1,24,-104.0080483892786,163.43165260561457,-74.05227738223644,-98.53,142.08,-51.8,4.746857501936537,0.29667859387103357,0.8455919786437361,-9.108623672773144,35.04038073230332,40.074098567052765,50.02671075400087,1.9267637399936897
1D16,A_PA1_to_C1,25,-103.00947648346532,164.44471236433247,-74.41947317795704,-97.37,142.87,-51.8,4.811910340874489,0.30074439630465555,0.8458116058058401,-8.990397032554142,35.520588162834585,40.21760938380807,50.33822246879562,1.9496324819369881
1D16,A_PA1_to_C1,26,-102.00468577891398,165.4524307713405,-74.78439012090907,-96.21,143.66,-51.8,4.876892588027229,0.30480578675170183,0.8460177370817715,-8.873883755357996,36.00027449850903,40.356566325706275,50.6497777987593,1.9732667312750218
