config,condition,scan_id,pa_x,pa_y,pa_z,focus_x,focus_y,focus_z,beam_sum,beam_mean,beam_max,beam_db,beam_percent,geometry_echo_percent,edm_echo_percent,edm_minus_geometry_db
1D32,A_PA1_to_C1,126,28.296872416348656,207.724568192602,-87.46495907252391,38.38,168.59,-51.8,4.6801110771018735,0.14625347115943355,0.9955182812371481,-15.962477121443637,15.917547111481534,30.984468091047596,47.88448710946129,3.781015900369452
1D32,A_PA1_to_C1,127,29.663439688942976,207.23763640733537,-87.2334345109946,39.75,168.27,-51.8,4.5836346839486275,0.1432385838733946,0.9963652938092801,-16.143400394390312,15.589420811087493,30.854676700139372,46.85478775203758,3.6286594946450244
1D32,A_PA1_to_C1,128,31.023012683729167,206.73436170913817,-86.99571479085466,41.12,167.94,-51.8,4.48754789437945,0.1402358716993578,0.997165939627995,-16.327418400700186,15.262619593218641,30.729858310028963,45.86035756863344,3.477537575046826
1D32,A_PA1_to_C1,129,32.37470356525212,206.2133764793259,-86.75128976688967,42.48,167.6,-51.8,4.397029425242942,0.13740716953884194,0.9978599204375586,-16.504412895864412,14.95475681534804,30.61013860225481,44.90733407822077,3.329039557512975
1D32,A_PA1_to_C1,130,33.719101063085496,205.67660809481976,-86.50089817554122,43.84,167.25,-51.8,4.31470825166064,0.134834632864395,0.9984273889245641,-16.66857162941464,14.674773896741723,30.49563812441444,43.99917484642633,3.184136128524831
1D32,A_PA1_to_C1,131,35.05617762104751,205.12451340531013,-86.24471920298933,45.2,166.89,-51.8,4.236303659530357,0.13238448936032365,0.9989069957241264,-16.827858676836286,14.40811168115963,30.386472168783246,43.13254029923272,3.042495095854241
1D32,A_PA1_to_C1,132,36.38584781708681,204.55739637263824,-85.98287507018212,46.56,166.51,-51.8,4.161281357106834,0.13004004240958855,0.9993025397609127,-16.983058719477818,14.15295298651221,30.282750656224948,42.307396164145636,2.904419531451865
1D32,A_PA1_to_C1,133,37.70803641502904,203.97556182960767,-85.71548684828234,47.91,166.13,-51.8,4.090345390446022,0.1278232934514382,0.9996045934127848,-17.132400703856856,13.91169234704868,30.18457802551059,41.52465286495739,2.77041803344476
1D32,A_PA1_to_C1,134,39.02267691114972,203.37931197772247,-85.44267500237241,49.26,165.73,-51.8,4.022303797612309,0.12569699367538464,0.9998230700565123,-17.27810295493018,13.68027577559808,30.092053128157577,40.7832131068794,2.640592375842778
1D32,A_PA1_to_C1,135,40.32971261578653,202.76894899163807,-85.16455939825487,50.61,165.33,-51.8,3.9566818971944793,0.12364630928732748,0.9999552802088937,-17.420977615546246,13.457088831049624,30.00526912889453,40.082462488412496,2.5151373665407335
