condition,max_scan_id,max_x,max_y,max_z,max_dB,coverage_above_minus6_percent,status
A_PA1_to_C1,93,1.4566805945824892,172.8946334709604,-51.8,0.0,82.79569892473118,ACCEPTABLE
B_PA2_to_C2,0,-123.81,161.25,-51.8,-8.377121669099466,0.0,TO_BE_REVIEWED
