config,condition,scan_id,pa_x,pa_y,pa_z,focus_x,focus_y,focus_z,beam_sum,beam_mean,beam_max,beam_db,beam_percent,geometry_echo_percent,edm_echo_percent,edm_minus_geometry_db,amplitude_percent,amplitude_db,depth_mm,scan_position_mm
1D32,B_PA2_to_C2,0,-111.344089,143.730347,-72.942256,-123.81,161.25,-51.8,4.225587263855068,0.1320496019954709,0.9606716346344036,-17.038188782081175,14.063407495926969,40.41790192521255,44.83946885215227,0.9017338752578762,44.83946885215227,-6.96679081000943,35.0,0.0
1D32,B_PA2_to_C2,1,-110.38386537861794,143.92504987544245,-73.40755896180973,-122.74,162.07,-51.8,4.31845700571778,0.1349517814286806,0.9654211812613067,-16.84935827670082,14.37249235024502,40.6458799704418,45.16474795756235,0.9156612132092992,45.16474795756235,-6.904008180211085,35.0,1.0101010101010102
1D32,B_PA2_to_C2,2,-109.4218299609588,144.1185327097424,-73.86961573883003,-121.66,162.88,-51.8,4.415968152521842,0.13799900476630755,0.9698966706701374,-16.65541162667894,14.697024517556029,40.87362846110438,45.49468430709769,0.9303492570705716,45.49468430709769,-6.840786884861757,35.0,2.0202020202020203
1D32,B_PA2_to_C2,3,-108.45798450643372,144.31078641668583,-74.32840069786123,-120.57,163.68,-51.8,4.515673447633837,0.1411147952385574,0.9739057690708153,-16.461479714755487,15.028859149550447,41.10091807377561,45.82649462943712,0.9453023103280906,45.82649462943712,-6.777667232723936,35.0,3.0303030303030303
1D32,B_PA2_to_C2,4,-107.49233079569572,144.50179958697743,-74.78388860572728,-119.48,164.48,-51.8,4.617251743493398,0.14428911698416869,0.9774302108765682,-16.268259200449123,15.366927417512699,41.32751994708203,46.15962180469701,0.9604579544951888,46.15962180469701,-6.714755162040445,35.0,4.040404040404041
1D32,B_PA2_to_C2,5,-106.5248704079047,144.69156262453677,-75.23605239698662,-118.39,165.27,-51.8,4.719411348719935,0.14748160464749796,0.9804830818576222,-16.078173628765107,15.706930372891993,41.553205912145444,46.49249546475241,0.9755664257290577,46.49249546475241,-6.6523428524252095,35.0,5.05050505050505
1D32,B_PA2_to_C2,6,-105.55560598576687,144.8800661623952,-75.684866540274,-117.29,166.06,-51.8,4.825343855496673,0.15079199548427102,0.9832659694571741,-15.88536494480897,16.05949012774774,41.77774872232961,46.82823851209781,0.9912557650046726,46.82823851209781,-6.589843566059813,35.0,6.0606060606060606
1D32,B_PA2_to_C2,7,-104.58453988214106,145.06729927392988,-76.1303048784166,-116.18,166.83,-51.8,4.93261001789489,0.15414406305921532,0.9857269628969306,-15.694394667223968,16.416488494633708,42.00092228205837,47.16408581098076,1.0070518769845715,47.16408581098076,-6.527771582861704,35.0,7.07070707070707
1D32,B_PA2_to_C2,8,-103.61167478761368,145.25325172348178,-76.57234104120653,-115.07,167.6,-51.8,5.042016745891722,0.1575630233091163,0.9878843265023859,-15.503844604615242,16.780610994665047,42.222501874474666,47.500672253059214,1.0231158473988802,47.500672253059214,-6.466004879617154,35.0,8.080808080808081
1D32,B_PA2_to_C2,9,-102.63701375124135,145.4379140468565,-77.01094843943008,-113.95,168.36,-51.8,5.1543784436607165,0.1610743263643974,0.9898184484930314,-15.312404238420466,17.15456809080082,42.44226438771144,47.83864494446023,1.039606462386859,47.83864494446023,-6.404422609438986,35.0,9.090909090909092
1D32,B_PA2_to_C2,10,-101.6605600506468,145.62127561992435,-77.4461008038966,-112.83,169.12,-51.8,5.269084984549059,0.16465890576715808,0.9915047034720939,-15.121226213205954,17.536329187242895,42.65998853954635,48.17716562787738,1.0564102288190065,48.17716562787738,-6.34317508234573,35.0,10.1010101010101
1D32,B_PA2_to_C2,11,-100.68231730915193,145.80332558276277,-77.877772044352,-111.7,169.86,-51.8,5.385672231729937,0.16830225724156053,0.9929899649501237,-14.93113189925751,17.924349564897383,42.87545510021415,48.515554557486404,1.0734451414252886,48.515554557486404,-6.282380000957474,35.0,11.11111111111111
