config,condition,scan_id,pa_x,pa_y,pa_z,focus_x,focus_y,focus_z,beam_sum,beam_mean,beam_max,beam_db,beam_percent,geometry_echo_percent,edm_echo_percent,edm_minus_geometry_db,amplitude_percent,amplitude_db,depth_mm,scan_position_mm
2D8x8,B_PA2_to_C2,0,-111.344089,143.730347,-72.942256,-123.81,161.25,-51.8,31.648613857396356,0.49450959152181806,1.1400968249804064,-7.547297472892173,41.94064704862855,37.20837693196707,49.34646481372162,2.4523063831225675,49.34646481372162,-6.1348790957072925,35.0,0.0
2D8x8,B_PA2_to_C2,1,-110.38386537861794,143.92504987544245,-73.40755896180973,-122.74,162.07,-51.8,32.3491321958941,0.5054551905608453,1.142127845081762,-7.357138650768659,42.86897182513877,37.41825158243257,49.82512108978903,2.487297443741337,49.82512108978903,-6.051032743241604,35.0,1.0101010101010102
2D8x8,B_PA2_to_C2,2,-109.4218299609588,144.1185327097424,-73.86961573883003,-121.66,162.88,-51.8,33.081332470609865,0.5168958198532791,1.144136357836188,-7.162731464270966,43.839281407388796,37.62791490691537,50.31574469546464,2.5238750320041543,50.31574469546464,-5.965921903490732,35.0,2.0202020202020203
2D8x8,B_PA2_to_C2,3,-108.45798450643372,144.31078641668583,-74.32840069786123,-120.57,163.68,-51.8,33.82498095263042,0.5285153273848503,1.1460480461954161,-6.969640130389337,44.824762119220466,37.83715579222011,50.81037064429182,2.5606775956485177,50.81037064429182,-5.880952740966068,35.0,3.0303030303030303
2D8x8,B_PA2_to_C2,4,-107.49233079569572,144.50179958697743,-74.78388860572728,-119.48,164.48,-51.8,34.57610493591315,0.540251639623643,1.147848765964267,-6.778869992771281,45.82014934264095,38.04576355051188,51.30727180137198,2.597452354400454,51.30727180137198,-5.796421555697741,35.0,4.040404040404041
2D8x8,B_PA2_to_C2,5,-106.5248704079047,144.69156262453677,-75.23605239698662,-118.39,165.27,-51.8,35.32417680721353,0.5519402626127115,1.149523168635911,-6.5929503473769735,46.81149191652382,38.253528131460996,51.802209163440516,2.6335356940475925,51.802209163440516,-5.713034377669233,35.0,5.05050505050505
2D8x8,B_PA2_to_C2,6,-105.55560598576687,144.8800661623952,-75.684866540274,-117.29,166.06,-51.8,36.09240002072887,0.5639437503238885,1.1511450322964858,-6.406076102380477,47.82953898796231,38.460240333745894,52.303882381478594,2.6704386569530074,52.303882381478594,-5.629321467674036,35.0,6.0606060606060606
2D8x8,B_PA2_to_C2,7,-104.58453988214106,145.06729927392988,-76.1303048784166,-116.18,166.83,-51.8,36.86171371502233,0.575964276797224,1.1526759205293906,-6.222880907280402,48.849031161218996,38.66569201570112,52.804785255268996,2.7069498691568987,52.804785255268996,-5.546534384251936,35.0,7.07070707070707
2D8x8,B_PA2_to_C2,8,-103.61167478761368,145.25325172348178,-76.57234104120653,-115.07,167.6,-51.8,37.63619093651086,0.5880654833829821,1.1541227146996282,-6.042278081913618,49.87536602504627,38.869676304898334,53.30628712894657,2.743350205568531,53.30628712894657,-5.464431315010061,35.0,8.080808080808081
2D8x8,B_PA2_to_C2,9,-102.63701375124135,145.4379140468565,-77.01094843943008,-113.95,168.36,-51.8,38.42104889807182,0.6003288890323721,1.155510516235486,-5.863007005310785,50.915457414118,39.07198780644933,53.81020017232662,2.779982017626656,53.81020017232662,-5.382707847761747,35.0,9.090909090909092
2D8x8,B_PA2_to_C2,10,-101.6605600506468,145.62127561992435,-77.4461008038966,-112.83,169.12,-51.8,39.20983536651676,0.6126536776018243,1.156823289295408,-5.686490968686586,51.96075484859164,39.272422809821244,54.31386584827914,2.8164604101930797,54.31386584827914,-5.301785694534216,35.0,10.1010101010101
2D8x8,B_PA2_to_C2,11,-100.68231730915193,145.80332558276277,-77.877772044352,-111.7,169.86,-51.8,39.99886086498395,0.6249822010153743,1.158069364939574,-5.513438881614051,53.006369044925464,39.47077949395584,54.81569047668492,2.8525837158833323,54.81569047668492,-5.221902220061986,35.0,11.11111111111111
2D8x8,B_PA2_to_C2,12,-99.70228929415876,145.98405451638737,-78.30593509369717,-110.57,170.6,-51.8,40.79070378381928,0.6373547466221763,1.1592502719140727,-5.343167374693044,54.05571687818189,39.66685813048617,55.316490209341794,2.888536274340151,55.316490209341794,-5.14290766708671,35.0,12.121212121212121
2D8x8,B_PA2_to_C2,13,-98.7204801590521,146.16345228221533,-78.73056335422048,-109.43,171.33,-51.8,41.59204618287818,0.6498757216074715,1.160388188333857,-5.174185611491746,55.117653393805185,39.86046128484611,55.81866183401931,2.9247420095401955,55.81866183401931,-5.064411585205516,35.0,13.131313131313133
2D8x8,B_PA2_to_C2,14,-97.73689414441262,146.34150742262747,-79.15163026818743,-108.29,172.06,-51.8,42.39493310072372,0.6624208296988081,1.1614672354889106,-5.0081122589453555,56.18163670103782,40.051394015070265,56.31899639946191,2.960745410361047,56.31899639946191,-4.986901857879674,35.0,14.14141414141414
2D8x8,B_PA2_to_C2,15,-96.75153606554488,146.5182102967413,-79.56910911524014,-107.15,172.77,-51.8,43.17934428015525,0.6746772543774258,1.1624663857424322,-4.848870487242051,57.22113601578735,40.23946406808398,56.80966644315429,2.995401028521289,56.80966644315429,-4.91155521333628,35.0,15.151515151515152
2D8x8,B_PA2_to_C2,16,-95.76441098545337,146.6935506411538,-79.98297329248382,-106.0,173.48,-51.8,43.981886264423835,0.6872169728816224,1.163444746111972,-4.688914321772391,58.284662218090475,40.42448207328589,57.30457112663413,3.0308960445656403,57.30457112663413,-4.836214668543336,35.0,16.161616161616163
2D8x8,B_PA2_to_C2,17,-94.7755246978455,146.8675188399196,-80.39319692783319,-104.84,174.18,-51.8,44.79300837848206,0.6998907559137821,1.1643908603789492,-4.530186716272178,59.3595587823551,40.606261733228024,57.79991865712651,3.0666843526217447,57.79991865712651,-4.761455455390787,35.0,17.17171717171717
2D8x8,B_PA2_to_C2,18,-93.78488196301028,147.04010262552612,-80.79975203414823,-103.68,174.88,-51.8,45.604966117195104,0.7125775955811735,1.165291754697569,-4.374148596660706,60.43556271387668,40.78462001120167,58.292621943628816,3.102343390645965,58.292621943628816,-4.687728202226376,35.0,18.181818181818183
2D8x8,B_PA2_to_C2,19,-92.792435537956,147.21124955115144,-81.20249796185014,-102.52,175.56,-51.8,46.39739874068165,0.7249593553231508,1.1661292048645326,-4.224518692249974,61.48569202194749,40.95937731553967,58.77476878044092,3.1367516725509197,58.77476878044092,-4.616181414226734,35.0,19.19191919191919
2D8x8,B_PA2_to_C2,20,-91.79822993559468,147.38097891626882,-81.6014867311795,-101.35,176.24,-51.8,47.20495800442893,0.737577468819202,1.1669484296086046,-4.074639032586621,62.555867107791244,41.13035768045009,59.25955956923315,3.1719186622761617,59.25955956923315,-4.544831612422261,35.0,20.2020202020202
2D8x8,B_PA2_to_C2,21,-90.80229103355435,147.54929578769315,-81.9967325985091,-100.17,176.91,-51.8,48.019433123626996,0.7503036425566718,1.1677417574627993,-3.9260507677868377,63.635207064292764,41.29738894319887,59.743772805165605,3.2074010156293564,59.743772805165605,-4.474147105435293,35.0,21.21212121212121
2D8x8,B_PA2_to_C2,22,-89.80462601702506,147.71619055711744,-82.38820952039464,-98.99,177.57,-51.8,48.82187947289884,0.7628418667640444,1.168487855004656,-3.7821014599631675,64.6986065313884,41.460302917463046,60.22008841182793,3.2421783594135145,60.22008841182793,-4.405172224309488,35.0,22.22222222222222
2D8x8,B_PA2_to_C2,23,-88.80524149658001,147.88165129826228,-82.77589017906962,-97.81,178.22,-51.8,49.61181579080899,0.7751846217313905,1.1691900615797068,-3.6426888948116822,65.74542774288422,41.61893556268015,60.68828693779431,3.276278202839694,60.68828693779431,-4.337902425330926,35.0,23.232323232323232
2D8x8,B_PA2_to_C2,24,-87.80414478986354,148.0456683441914,-83.15974727592672,-96.62,178.87,-51.8,50.41694612311835,0.7877647831737242,1.1698792565556864,-3.5028606273150342,66.81238401615684,41.77312714922318,61.15897991644707,3.3112649041971123,61.15897991644707,-4.270795337775343,35.0,24.242424242424242
2D8x8,B_PA2_to_C2,25,-86.8013441490417,148.20823110062227,-83.53975553399744,-95.43,179.51,-51.8,51.20857480560959,0.8001339813376498,1.1705278033019817,-3.3675375630173305,67.86144794406017,41.92272241923474,61.62117268396571,3.345609627604164,61.62117268396571,-4.205400821670347,35.0,25.252525252525253
2D8x8,B_PA2_to_C2,26,-85.79684713155581,148.36932931117394,-83.91588687010773,-94.24,180.14,-51.8,51.98635404556457,0.8122867819619464,1.171138479437549,-3.236604141333948,68.89215863273948,42.06757074295857,62.07476805967565,3.3793534353836425,62.07476805967565,-4.1416978899476025,35.0,26.262626262626267
2D8x8,B_PA2_to_C2,27,-84.79066219213736,148.52895259434032,-84.28811479164705,-93.04,180.76,-51.8,52.769663181964404,0.8245259872181938,1.17173220450591,-3.106704901174121,69.93019752340747,42.20752627041095,62.52726245503093,3.413590310572123,62.52726245503093,-4.078611700398992,35.0,27.27272727272727
2D8x8,B_PA2_to_C2,28,-83.78279833852454,148.68709051038687,-84.65641348019483,-91.83,181.38,-51.8,53.566121357434156,0.8369706462099087,1.1723142202727617,-2.976587326649919,70.98566148075122,42.34244807823927,62.981672523332556,3.4487645160106983,62.981672523332556,-4.015716210918844,35.0,28.28282828282828
2D8x8,B_PA2_to_C2,29,-82.7732644843618,148.84373269838642,-85.0207559726652,-90.63,181.98,-51.8,54.320037094260485,0.8487505795978201,1.1728398220148066,-2.855190187723023,71.98474832749633,42.47220031161987,63.41676750718902,3.4819868140951495,63.41676750718902,-3.955917973888712,35.0,29.292929292929294
2D8x8,B_PA2_to_C2,30,-81.76207001190437,148.99886944655137,-85.38111544941161,-89.40999999999998,182.58,-51.8,55.10588813119088,0.8610295020498575,1.1733719814020818,-2.730431220126359,73.02615573703423,42.59665232105236,63.8612732225198,3.517242075969352,63.8612732225198,-3.8952485408602784,35.0,30.303030303030305
2D8x8,B_PA2_to_C2,31,-80.74922459345133,149.15248953395547,-85.73746566339398,-88.2,183.17,-51.8,55.85627287058781,0.8727542636029345,1.1738567466110896,-2.6129522825745175,74.02056331670043,42.71567879391259,64.28954131574714,3.5510603021923126,64.28954131574714,-3.8371934554500897,35.0,31.313131313131315
2D8x8,B_PA2_to_C2,32,-79.73473816719762,149.3045824755824,-86.08977990629651,-86.98,183.75,-51.8,56.61036850885219,0.8845370079508155,1.1743276070277422,-2.4964717053893977,75.01988856828535,42.82915988063183,64.71683808080951,3.585554698687215,64.71683808080951,-3.7796541905862435,35.0,32.323232323232325
2D8x8,B_PA2_to_C2,33,-78.71862135234821,149.4551382571482,-86.4380323272578,-85.76,184.33,-51.8,57.35519028218106,0.8961748481590791,1.1747738902883684,-2.382936846203366,76.00692412219854,42.93698131537512,65.13846845061705,3.6201207005444234,65.13846845061705,-3.723249137487761,35.0,33.33333333333333
2D8x8,B_PA2_to_C2,34,-77.70088469592274,149.6041466734858,-86.78219602640094,-84.53,184.89,-51.8,58.095897048031574,0.9077483913754933,1.1752029592133344,-2.2714821055345444,76.98850648068807,43.03903453109733,65.55674153536442,3.6550967709646276,65.55674153536442,-3.6676528190470497,35.0,34.34343434343434
2D8x8,B_PA2_to_C2,35,-76.68153940290324,149.75159744535128,-87.12224516612058,-83.29999999999998,185.45,-51.8,58.826340089501784,0.9191615638984654,1.1756087804836843,-2.162954757082894,77.95648738277328,43.1352167688609,65.9696783918429,3.690247640131537,65.9696783918429,-3.6131126627864023,35.0,35.35353535353536
2D8x8,B_PA2_to_C2,36,-75.66059697847993,149.8974803307656,-87.45815384885604,-82.06,186.0,-51.8,59.55848683583317,0.9306013568098933,1.176001196323863,-2.0555182370304417,78.92672602937076,43.22543118130541,66.38229882402392,3.726259077040947,66.38229882402392,-3.558954240325489,35.0,36.36363636363637
2D8x8,B_PA2_to_C2,37,-74.63806924818577,150.0417851248658,-87.7898962109968,-80.81999999999998,186.54,-51.8,60.272916283514334,0.9417643169299115,1.176368373103569,-1.9519472414334895,79.87348576555868,43.30958693016469,66.78763825918217,3.7622408923831823,66.78763825918217,-3.5060782752299042,35.0,37.37373737373738
2D8x8,B_PA2_to_C2,38,-73.61396815521526,150.18450169084596,-88.11744574553933,-79.58,187.08,-51.8,60.97539026258728,0.9527404728529263,1.1767141061396098,-1.85129957217652,80.80440215102492,43.38759927773321,67.18844558859509,3.7985794668839805,67.18844558859509,-3.4541081248058765,35.0,38.38383838383838
