config,condition,scan_id,pa_x,pa_y,pa_z,focus_x,focus_y,focus_z,geometry_echo_max,geometry_x,geometry_y,geometry_z,edm_response,born_response,edge_gtd_response,edm_x,edm_y,edm_z,edm_vs_geometry_dB,geometry_echo_dB_norm,edm_response_dB_norm
2D8x8,A_PA1_to_C1,0,-126.47159,137.926021,-64.727672,-124.23,120.25,-51.8,0.9297908419530972,-124.0905,120.5611,-52.4603,1.5037496513537028,1.0936361100754202,0.4101135412782826,-124.23,120.25,-51.8,4.175805508103489,-1.9038905972176936,0.0
2D8x8,A_PA1_to_C1,1,-125.5875311773166,139.02719128142945,-65.13280492576665,-123.25,121.26,-51.8,0.9158442902550573,-123.1576,121.5163,-52.4603,1.426595261682562,1.0777730861848687,0.34882217549769323,-123.25,121.26,-51.8,3.8495827004291994,-2.0351630383853205,-0.45749524884191517
2D8x8,A_PA1_to_C1,2,-124.6997361978672,140.12576271513814,-65.53680832565904,-122.26,122.26,-51.8,0.8239458519774165,-121.8437,122.0907,-53.6759,1.3016382690468187,1.0619225425959402,0.23971572645087855,-122.26,122.26,-51.8,3.9718327394296704,-2.9536224482982094,-1.2537046197543327
2D8x8,A_PA1_to_C1,3,-123.80814054759924,141.2216765912607,-65.93965723338754,-121.26,123.25,-51.8,0.8868709484531248,-121.2699,123.4049,-52.4603,1.1738494002635318,1.0461280410290206,0.12772135923451117,-121.26,123.25,-51.8,2.435039072274245,-2.314387306397769,-2.151263145009319
2D8x8,A_PA1_to_C1,4,-122.9126787053178,142.31487245796063,-66.3413259657362,-120.25,124.23,-51.8,0.808749854698069,-119.9472,123.9589,-53.6759,1.0689525372232709,1.0304167195153358,0.03853581770793522,-120.25,124.23,-51.8,2.4228841357958526,-3.1153115692301467,-2.9643423443200883
2D8x8,A_PA1_to_C1,5,-122.01174866453802,143.40418686963125,-66.74131078089212,-119.24,125.21,-51.8,0.8564872632370837,-119.3531,125.2641,-52.4603,1.0408166497777367,1.0152558383430925,0.02556081143464421,-119.24,125.21,-51.8,1.693066439245137,-2.617177702511439,-3.1960261741520957
2D8x8,A_PA1_to_C1,6,-121.10663104890662,144.49049807357036,-67.13999408581748,-118.22,126.17,-51.8,0.8323927321924074,-118.4046,126.2044,-51.7933,1.0556779230749862,0.9998982394847443,0.05577968359024194,-118.22,126.17,-51.8,2.064063196159179,-2.865030289564946,-3.0728820042915626
2D8x8,A_PA1_to_C1,7,-120.19746436062516,145.57388656308214,-67.53741160967894,-117.19,127.13,-51.8,0.8149665172247942,-117.2789,126.9542,-53.1004,1.051002532042751,0.9849986971064505,0.06600383493630044,-117.19,127.13,-51.8,2.2092799226888444,-3.048800558560218,-3.111435546757167
2D8x8,A_PA1_to_C1,8,-119.2841803722571,146.65428488520172,-67.93353475243892,-116.15,128.08,-51.8,0.8017427807772184,-116.4449,128.0191,-51.7933,1.0322302166067867,0.970246588429829,0.061983628176957656,-116.15,128.08,-51.8,2.194830200527738,-3.1908947212099874,-3.267979431568045
2D8x8,A_PA1_to_C1,9,-118.36592519347504,147.73104304627157,-68.32808255362077,-115.1,129.02,-51.8,0.7931030958625499,-115.4346,128.8926,-52.4603,1.0052770624582132,0.9556853023618619,0.04959176009635128,-115.1,129.02,-51.8,2.0591225634279424,-3.2850029794167734,-3.497795326874626
2D8x8,A_PA1_to_C1,10,-117.44257785267718,148.80403214082943,-68.72100263076132,-114.05,129.95,-51.8,0.7705971410000637,-114.4575,129.8032,-51.7933,0.9752222731291721,0.9413823524773901,0.03383992065178202,-114.05,129.95,-51.8,2.0455243637559346,-3.5350480142418146,-3.7614385613716754
2D8x8,A_PA1_to_C1,11,-116.514922269347,149.87380453703935,-69.1125338929097,-112.99,130.88,-51.8,0.7509250889782757,-112.4427,131.5564,-51.7933,0.9452326019562715,0.9275304397540808,0.017702162202190706,-112.99,130.88,-51.8,1.9988415552445995,-3.7596635886538508,-4.032736944295046
2D8x8,A_PA1_to_C1,12,-115.58288695538624,150.94028445626716,-69.50264433810658,-111.92,131.79,-51.8,0.7482513520830573,-111.2834,132.2532,-53.1004,0.9175442932018547,0.9136065542124145,0.003937738989440152,-111.92,131.79,-51.8,1.7715905625245494,-3.790645676659239,-4.290970025020486
2D8x8,A_PA1_to_C1,13,-114.646399475931,152.00339379708413,-69.8913011714731,-110.84,132.7,-51.8,0.7511470821784457,-110.3818,133.2551,-52.4603,0.9100402298599867,0.9001316952819093,0.009908534578077353,-110.84,132.7,-51.8,1.6667121378191485,-3.75709619077758,-4.362298963844227
2D8x8,A_PA1_to_C1,14,-113.7043365345142,153.06224053959426,-70.27812111471913,-109.76,133.6,-51.8,0.7307693388580614,-109.3703,134.1273,-51.7933,0.9058092212112484,0.8869344521716167,0.01887476903963175,-109.76,133.6,-51.8,1.865128406069958,-3.99598953785872,-4.4027760426745575
2D8x8,A_PA1_to_C1,15,-112.75724424129103,154.11719913348915,-70.66326812092449,-108.67,134.48,-51.8,0.734854592495438,-108.3142,134.945,-52.4603,0.8986341829486502,0.8737277748664777,0.024906408082172482,-108.67,134.48,-51.8,1.7476304389425827,-3.947567629104543,-4.471852101047756
2D8x8,A_PA1_to_C1,16,-111.80550111618676,155.16853095706625,-71.04685566781224,-107.57,135.36,-51.8,0.7264121276404237,-107.2706,135.7778,-52.4603,0.8892523089548799,0.8609618165206373,0.028290492434242684,-107.57,135.36,-51.8,1.756838305538141,-4.047934157567815,-4.56301076291547
